location_id,is-verified,is-hidden,is-location-screening-patients,is-location-collecting-specimens,location-name,location-address-street,location-address-locality,location-address-region,location-address-postal-code,lat,lng,location-place-of-service-type,location-contact-phone-main,location-contact-url-main,location-hours-of-operation,is-location-accepting-third-party-orders-for-testing,is-location-only-testing-patients-that-meet-criteria,is-location-by-appointment-only,location-contact-phone-appointments,location-contact-url-appointments,location-specific-testing-criteria,additional-information-for-patients,data-source,is-ready-for-prod,location-address-district
823ece97-d901-4dd6-9a4e-b5a86d61230e,TRUE,FALSE,FALSE,FALSE,State of Alaska Health And Social Services,3601 C Street,Anchorage,AK,99811,61.18746,-149.88658,Public Health Department,907-334-2260,http://dhss.alaska.gov/dph/Epi/id/Pages/COVID-19/default.aspx,,FALSE,TRUE,TRUE,1-800-499-2964,,,"We serve 280 small communities and villages. If you do not know which health center is nearest you, please call 907-465-3150 or toll-free 1-800-499-2964.",provider website,TRUE,
a3b3214a-e128-4c68-ac18-a467482f1ab8,TRUE,FALSE,TRUE,TRUE,Providence Alaska Medical Center,3200 Providence Drive,Anchorage,AK,99508,61.189842,-149.81894,Medical Center,907-562-2211,https://alaska.providence.org/locations/p/pamc,,FALSE,TRUE,TRUE,907-562-2211,https://virtual.providence.org/,https://www.providence.org/patients-and-visitors/coronavirus-advisory,,provider website,TRUE,
f15df801-b396-45d7-b689-c0cc7fca3e0b,TRUE,FALSE,TRUE,TRUE,Jessie Norma Jim Health Center,725 Relay Road,Angoon,AK,99820,57.499091,-134.5802606,Health Center,907-788-4600,https://searhc.org/location/jessie-norma-jim-health-center/,,FALSE,TRUE,TRUE,907-966-8799,,https://covid19.searhc.org/,"For questions, please call 966.8799 (7 am - 4 pm). After hours, call the Nurse Advice Line at 1.800.613.0560",provider website,TRUE,
ff18e912-fe0f-4823-a4cb-698e3f92a345,TRUE,FALSE,TRUE,TRUE,Bethel Center and Itinerant Nursing Services,1490 State Hwy,Bethel,AK,99559,60.7927467,-161.7696992,Health Center,907-543-2110,http://dhss.alaska.gov/dph/Nursing/Pages/South%20Central%20Public%20Health%20Center%20Pages/Bethel-Public-Health-Center.aspx,,FALSE,TRUE,TRUE,,,,,provider website,TRUE,
5cfa710d-c590-42f6-96a3-9700278c77dd,TRUE,FALSE,TRUE,TRUE,Express Care Clinic Craig,"333 Cold Storage Drive, Suite 203",Craig,AK,99921,55.477882,-133.14027,Urgent Care,907-755-4950,https://searhc.org/location/searhc-express-care-clinic-craig/,,FALSE,TRUE,TRUE,907-966-8799,,https://covid19.searhc.org/,"For questions, please call 966.8799 (7 am - 4 pm). After hours, call the Nurse Advice Line at 1.800.613.0560",provider website,TRUE,
372769c0-2497-4353-8a4f-035e9e575852,TRUE,FALSE,TRUE,TRUE,Craig Public Health Center,1800 Craig Klawock Highway,Craig,AK,99921,55.4840003,-133.1254048,Health Center,907-826-3433,http://dhss.alaska.gov/dph/Nursing/Pages/Southeast%20Region%20Public%20Health%20Center%20Pages/Craig-Public-Health-Center.aspx,,FALSE,TRUE,TRUE,,,,,provider website,TRUE,
328f34b8-8d8e-48b1-bd06-0d22e51050c2,TRUE,TRUE,TRUE,TRUE,Delta Junction Public Health Center,"2857 Alaska Hwy, Room 210",Delta Junction,AK,99737,63.7169618,-144.656801,Health Center,907-895-4292,http://dhss.alaska.gov/dph/Nursing/Pages/Frontier%20Region%20Public%20Health%20Center%20Pages/Delta-Junction-Public-Health-Center.aspx,,FALSE,TRUE,TRUE,,,,,provider website,TRUE,Anchorage Municipality
246a7bbc-0da9-45bd-b938-29aa7786e930,TRUE,FALSE,TRUE,TRUE,Dillingham Public Health Center,125 Main Street,Dillingham,AK,99576,59.040104,-158.45766,Health Center,907-842-5981,http://dhss.alaska.gov/dph/Nursing/Pages/South%20Central%20Public%20Health%20Center%20Pages/Dillingham-Public-Health-Center.aspx,,FALSE,TRUE,TRUE,,,,,provider website,TRUE,
f3b0e074-cae6-4e66-bb4e-1896c8c2792b,TRUE,FALSE,TRUE,TRUE,Fairbanks Regional Public Health Center Interior Region,1025 W Barnette St,Fairbanks,AK,99701,64.838806,-147.72575,Health Center,907-452-1776,http://dhss.alaska.gov/dph/Nursing/Pages/Frontier%20Region%20Public%20Health%20Center%20Pages/Fairbanks-Regional-Public-Health-Center.aspx,,FALSE,TRUE,TRUE,,,,,provider website,TRUE,
1c2ec744-858e-42d2-ad93-4d2e30c26eda,TRUE,FALSE,TRUE,TRUE,Gustavus Clinic,42 Dolley Varden Road,Gustavus,AK,99826,58.4179196,-135.746215,Clinic,907-697-3008,https://searhc.org/location/gustavus-clinic/,,FALSE,TRUE,TRUE,907-966-8799,,https://covid19.searhc.org/,"For questions, please call 966.8799 (7 am - 4 pm). After hours, call the Nurse Advice Line at 1.800.613.0560",provider website,TRUE,
21cdaa6d-6562-4702-b7ac-02634bd60d6a,TRUE,FALSE,TRUE,TRUE,Haines Health Center,131 1st Avenue,Haines,AK,99827,59.23349,-135.4441,Health Center,907-766-6300,https://searhc.org/location/haines-health-center/,,FALSE,TRUE,TRUE,907-966-8799,,https://covid19.searhc.org/,"For questions, please call 966.8799 (7 am - 4 pm). After hours, call the Nurse Advice Line at 1.800.613.0560",provider website,TRUE,
1bdc85fe-42da-46a2-9c61-3fa382396d78,TRUE,FALSE,TRUE,TRUE,Homer Public Health Center,195 E Bunnell Ave Ste C,Homer,AK,99603,59.640067,-151.53924,Health Center,907-235-8857,http://dhss.alaska.gov/dph/Nursing/Pages/Homer-Public-Health-Center.aspx,,FALSE,TRUE,TRUE,,,,,provider website,TRUE,
b639ddac-e128-4a72-af22-820b4fabde44,TRUE,FALSE,TRUE,TRUE,Hoonah Health Center,490 Gartina Highway,Hoonah,AK,99829,58.1017837,-135.4155273,Health Center,907-945-2735,https://searhc.org/location/hoonah-health-center/,,FALSE,TRUE,TRUE,907-966-8799,,https://covid19.searhc.org/,"For questions, please call 966.8799 (7 am - 4 pm). After hours, call the Nurse Advice Line at 1.800.613.0560",provider website,TRUE,
f8e9c5ae-0b1d-4d40-aed5-0ab6a5c76761,TRUE,FALSE,TRUE,TRUE,Alma Cook Health Center in Hydaburg,Eighth Street Extension,Hydaburg,AK,99922,55.2055343,-132.8237149,Health Center,907-285-3462,https://searhc.org/location/hydaburg-alma-cook-health-center/,,FALSE,TRUE,TRUE,907-966-8799,,https://covid19.searhc.org/,"For questions, please call 966.8799 (7 am - 4 pm). After hours, call the Nurse Advice Line at 1.800.613.0560",provider website,TRUE,
